Wind direction at 10m (deg),Wind speed at 10m (knots),Temperature at 2m (deg C),Rainfall mm/hr,ID,Valid time
230,12,22.1,0.0,AAA,00:00 02-Jan-2019 UTC
220,13,22.4,0.2,AAA,23:00 01-Jan-2019 UTC
230,10,21.6,0.0,AAA,22:00 01-Jan-2019 UTC
220,10,21.3,0.0,AAA,21:00 01-Jan-2019 UTC
210,08,19.8,0.0,AAA,20:00 01-Jan-2019 UTC
220,09,19.2,0.0,AAA,19:00 01-Jan-2019 UTC
210,08,18.8,0.2,AAA,18:00 01-Jan-2019 UTC
210,09,19.2,0.0,AAA,17:00 01-Jan-2019 UTC
210,08,19.2,0.0,AAA,16:00 01-Jan-2019 UTC
210,07,19.6,0.0,AAA,15:00 01-Jan-2019 UTC
220,07,19.6,0.0,AAA,14:00 01-Jan-2019 UTC
210,09,19.8,0.0,AAA,13:00 01-Jan-2019 UTC
220,09,19.8,0.0,AAA,12:00 01-Jan-2019 UTC
200,09,19.9,0.0,AAA,11:00 01-Jan-2019 UTC
210,11,19.9,0.0,AAA,10:00 01-Jan-2019 UTC
200,11,20.0,0.0,AAA,09:00 01-Jan-2019 UTC
220,10,20.0,0.0,AAA,08:00 01-Jan-2019 UTC
230,13,20.3,0.0,AAA,07:00 01-Jan-2019 UTC
220,14,20.6,0.0,AAA,06:00 01-Jan-2019 UTC
230,14,22.3,0.0,AAA,05:00 01-Jan-2019 UTC
220,14,22.6,0.0,AAA,04:00 01-Jan-2019 UTC
230,14,22.6,0.0,AAA,03:00 01-Jan-2019 UTC
220,11,22.0,0.0,AAA,02:00 01-Jan-2019 UTC
220,14,21.0,0.0,AAA,01:00 01-Jan-2019 UTC
230,11,21.6,0.0,AAA,00:00 01-Jan-2019 UTC
220,11,21.4,0.0,AAA,23:00 31-Dec-2018 UTC
220,08,21.2,0.0,AAA,22:00 31-Dec-2018 UTC
220,09,20.6,0.0,AAA,21:00 31-Dec-2018 UTC
230,09,20.2,0.0,AAA,20:00 31-Dec-2018 UTC
230,10,20.0,0.0,AAA,19:00 31-Dec-2018 UTC
220,09,19.4,0.0,AAA,18:00 31-Dec-2018 UTC
210,09,19.0,0.0,AAA,17:00 31-Dec-2018 UTC
220,10,19.3,0.0,AAA,16:00 31-Dec-2018 UTC
210,08,19.2,0.0,AAA,15:00 31-Dec-2018 UTC
210,10,19.3,0.0,AAA,14:00 31-Dec-2018 UTC
220,09,19.1,0.0,AAA,13:00 31-Dec-2018 UTC
220,12,19.2,0.0,AAA,12:00 31-Dec-2018 UTC
