Wind direction at 10m (deg),Wind speed at 10m (knots),Temperature at 2m (deg C),Rainfall mm/hr,ID,Valid time
230,10,25.1,0.0,QNA,00:00 02-Jan-2019 UTC
250,06,25.2,0.0,QNA,23:00 01-Jan-2019 UTC
250,06,24.4,0.0,QNA,22:00 01-Jan-2019 UTC
250,05,22.0,0.0,QNA,21:00 01-Jan-2019 UTC
140,02,20.1,0.0,QNA,20:00 01-Jan-2019 UTC
270,01,16.9,0.2,QNA,19:00 01-Jan-2019 UTC
330,03,16.0,0.2,QNA,18:00 01-Jan-2019 UTC
020,04,15.6,0.2,QNA,17:00 01-Jan-2019 UTC
180,02,16.8,0.4,QNA,16:00 01-Jan-2019 UTC
090,02,15.8,0.0,QNA,15:00 01-Jan-2019 UTC
060,02,16.0,0.0,QNA,14:00 01-Jan-2019 UTC
040,05,16.2,0.0,QNA,13:00 01-Jan-2019 UTC
260,01,16.8,0.0,QNA,12:00 01-Jan-2019 UTC
250,03,17.1,0.0,QNA,11:00 01-Jan-2019 UTC
210,02,16.9,0.0,QNA,10:00 01-Jan-2019 UTC
230,08,17.2,0.2,QNA,09:00 01-Jan-2019 UTC
230,09,18.4,0.0,QNA,08:00 01-Jan-2019 UTC
230,10,18.9,0.0,QNA,07:00 01-Jan-2019 UTC
240,09,20.2,0.0,QNA,06:00 01-Jan-2019 UTC
240,05,20.8,0.0,QNA,05:00 01-Jan-2019 UTC
230,09,21.4,0.0,QNA,04:00 01-Jan-2019 UTC
250,08,23.8,0.0,QNA,03:00 01-Jan-2019 UTC
250,07,22.3,0.0,QNA,02:00 01-Jan-2019 UTC
280,02,21.0,0.0,QNA,01:00 01-Jan-2019 UTC
060,03,19.2,0.0,QNA,00:00 01-Jan-2019 UTC
250,01,17.9,0.0,QNA,23:00 31-Dec-2018 UTC
050,03,16.7,0.0,QNA,22:00 31-Dec-2018 UTC
060,04,14.3,0.0,QNA,21:00 31-Dec-2018 UTC
080,03,12.8,0.0,QNA,20:00 31-Dec-2018 UTC
020,04,11.3,0.0,QNA,19:00 31-Dec-2018 UTC
050,05,9.5,0.0,QNA,18:00 31-Dec-2018 UTC
030,04,9.5,0.0,QNA,17:00 31-Dec-2018 UTC
040,02,9.1,0.0,QNA,16:00 31-Dec-2018 UTC
040,02,9.6,0.0,QNA,15:00 31-Dec-2018 UTC
020,02,9.1,0.0,QNA,14:00 31-Dec-2018 UTC
070,01,11.1,0.0,QNA,13:00 31-Dec-2018 UTC
120,01,11.4,0.0,QNA,12:00 31-Dec-2018 UTC
060,02,12.8,0.0,QNA,11:00 31-Dec-2018 UTC
170,07,15.0,0.0,QNA,10:00 31-Dec-2018 UTC
160,06,15.5,0.0,QNA,09:00 31-Dec-2018 UTC
160,16,16.3,0.0,QNA,08:00 31-Dec-2018 UTC
160,19,17.9,0.0,QNA,07:00 31-Dec-2018 UTC
160,19,19.1,0.0,QNA,06:00 31-Dec-2018 UTC
160,20,20.1,0.0,QNA,05:00 31-Dec-2018 UTC
160,18,21.0,0.0,QNA,04:00 31-Dec-2018 UTC
160,19,22.1,0.0,QNA,03:00 31-Dec-2018 UTC
170,11,22.3,0.0,QNA,02:00 31-Dec-2018 UTC
230,08,21.1,0.0,QNA,01:00 31-Dec-2018 UTC
210,09,20.2,0.0,QNA,00:00 31-Dec-2018 UTC
230,08,19.1,0.0,QNA,23:00 30-Dec-2018 UTC
150,15,17.8,0.0,QNA,22:00 30-Dec-2018 UTC
200,08,18.4,0.0,QNA,21:00 30-Dec-2018 UTC
190,05,18.9,0.0,QNA,20:00 30-Dec-2018 UTC
180,07,17.5,0.0,QNA,19:00 30-Dec-2018 UTC
190,06,17.3,0.0,QNA,18:00 30-Dec-2018 UTC
210,05,17.5,0.0,QNA,17:00 30-Dec-2018 UTC
000,00,16.3,0.0,QNA,16:00 30-Dec-2018 UTC
030,01,15.7,0.0,QNA,15:00 30-Dec-2018 UTC
260,09,17.3,0.0,QNA,14:00 30-Dec-2018 UTC
230,09,17.3,0.0,QNA,13:00 30-Dec-2018 UTC
230,10,17.4,0.0,QNA,12:00 30-Dec-2018 UTC
180,03,17.6,0.0,QNA,11:00 30-Dec-2018 UTC
210,05,17.2,0.0,QNA,10:00 30-Dec-2018 UTC
340,02,17.1,0.0,QNA,09:00 30-Dec-2018 UTC
230,09,17.4,0.0,QNA,08:00 30-Dec-2018 UTC
220,07,18.8,0.0,QNA,07:00 30-Dec-2018 UTC
190,08,19.1,0.0,QNA,06:00 30-Dec-2018 UTC
250,09,21.8,0.0,QNA,05:00 30-Dec-2018 UTC
250,09,23.0,0.0,QNA,04:00 30-Dec-2018 UTC
240,08,24.8,0.0,QNA,03:00 30-Dec-2018 UTC
240,08,25.6,0.0,QNA,02:00 30-Dec-2018 UTC
220,13,25.9,0.0,QNA,01:00 30-Dec-2018 UTC
210,14,27.5,0.0,QNA,00:00 30-Dec-2018 UTC
230,09,26.0,0.0,QNA,23:00 29-Dec-2018 UTC
230,08,24.1,0.0,QNA,22:00 29-Dec-2018 UTC
240,07,21.5,0.0,QNA,21:00 29-Dec-2018 UTC
240,07,20.6,0.0,QNA,20:00 29-Dec-2018 UTC
240,07,20.1,0.0,QNA,19:00 29-Dec-2018 UTC
240,08,20.1,0.0,QNA,18:00 29-Dec-2018 UTC
240,06,20.3,0.0,QNA,17:00 29-Dec-2018 UTC
240,09,20.6,0.0,QNA,16:00 29-Dec-2018 UTC
240,07,20.4,0.0,QNA,15:00 29-Dec-2018 UTC
240,08,20.1,0.0,QNA,14:00 29-Dec-2018 UTC
230,07,20.2,0.0,QNA,13:00 29-Dec-2018 UTC
230,07,19.7,0.0,QNA,12:00 29-Dec-2018 UTC
230,07,20.0,0.0,QNA,11:00 29-Dec-2018 UTC
270,02,20.1,0.0,QNA,10:00 29-Dec-2018 UTC
230,03,19.9,0.0,QNA,09:00 29-Dec-2018 UTC
240,08,20.8,0.0,QNA,08:00 29-Dec-2018 UTC
250,08,21.3,0.0,QNA,07:00 29-Dec-2018 UTC
240,10,21.2,0.0,QNA,06:00 29-Dec-2018 UTC
250,09,23.5,0.0,QNA,05:00 29-Dec-2018 UTC
240,15,22.5,0.0,QNA,04:00 29-Dec-2018 UTC
250,07,23.9,0.0,QNA,03:00 29-Dec-2018 UTC
240,10,24.4,0.0,QNA,02:00 29-Dec-2018 UTC
240,11,22.5,0.0,QNA,01:00 29-Dec-2018 UTC
240,09,21.1,0.0,QNA,00:00 29-Dec-2018 UTC
240,08,18.5,0.0,QNA,23:00 28-Dec-2018 UTC
250,06,18.1,0.0,QNA,22:00 28-Dec-2018 UTC
270,02,18.1,0.0,QNA,21:00 28-Dec-2018 UTC
240,03,15.0,0.0,QNA,20:00 28-Dec-2018 UTC
290,02,14.5,0.0,QNA,19:00 28-Dec-2018 UTC
200,03,13.7,0.0,QNA,18:00 28-Dec-2018 UTC
150,04,13.7,0.0,QNA,17:00 28-Dec-2018 UTC
280,01,14.2,0.0,QNA,16:00 28-Dec-2018 UTC
230,07,14.4,0.2,QNA,15:00 28-Dec-2018 UTC
220,02,14.9,0.0,QNA,14:00 28-Dec-2018 UTC
350,03,14.8,0.0,QNA,13:00 28-Dec-2018 UTC
350,02,14.6,0.0,QNA,12:00 28-Dec-2018 UTC
250,06,15.3,0.0,QNA,11:00 28-Dec-2018 UTC
230,09,17.0,0.0,QNA,10:00 28-Dec-2018 UTC
220,14,18.7,0.0,QNA,09:00 28-Dec-2018 UTC
140,09,19.6,0.0,QNA,08:00 28-Dec-2018 UTC
260,06,21.1,0.0,QNA,07:00 28-Dec-2018 UTC
250,08,22.4,0.0,QNA,06:00 28-Dec-2018 UTC
200,14,23.7,0.0,QNA,05:00 28-Dec-2018 UTC
200,11,24.0,0.0,QNA,04:00 28-Dec-2018 UTC
250,07,23.3,0.0,QNA,03:00 28-Dec-2018 UTC
250,09,21.9,0.0,QNA,02:00 28-Dec-2018 UTC
260,07,20.5,0.0,QNA,01:00 28-Dec-2018 UTC
250,07,18.8,0.0,QNA,00:00 28-Dec-2018 UTC
250,05,17.4,0.0,QNA,23:00 27-Dec-2018 UTC
250,05,15.4,0.0,QNA,22:00 27-Dec-2018 UTC
250,04,13.6,0.0,QNA,21:00 27-Dec-2018 UTC
020,02,13.1,0.0,QNA,20:00 27-Dec-2018 UTC
080,02,9.8,0.0,QNA,19:00 27-Dec-2018 UTC
020,02,6.6,0.0,QNA,18:00 27-Dec-2018 UTC
010,02,6.4,0.0,QNA,17:00 27-Dec-2018 UTC
030,01,7.2,0.0,QNA,16:00 27-Dec-2018 UTC
020,02,8.6,0.0,QNA,15:00 27-Dec-2018 UTC
170,02,9.3,0.0,QNA,14:00 27-Dec-2018 UTC
040,01,9.7,0.0,QNA,13:00 27-Dec-2018 UTC
200,03,11.8,0.0,QNA,12:00 27-Dec-2018 UTC
170,08,12.1,0.0,QNA,11:00 27-Dec-2018 UTC
150,11,12.9,0.0,QNA,10:00 27-Dec-2018 UTC
150,09,13.3,0.0,QNA,09:00 27-Dec-2018 UTC
160,14,15.2,0.0,QNA,08:00 27-Dec-2018 UTC
170,13,17.5,0.0,QNA,07:00 27-Dec-2018 UTC
180,14,18.2,0.0,QNA,06:00 27-Dec-2018 UTC
170,14,18.9,0.0,QNA,05:00 27-Dec-2018 UTC
170,12,19.6,0.0,QNA,04:00 27-Dec-2018 UTC
180,10,18.8,0.0,QNA,03:00 27-Dec-2018 UTC
260,07,17.1,0.0,QNA,02:00 27-Dec-2018 UTC
260,07,16.3,0.0,QNA,01:00 27-Dec-2018 UTC
260,06,16.2,0.0,QNA,00:00 27-Dec-2018 UTC
260,05,15.7,0.0,QNA,23:00 26-Dec-2018 UTC
260,05,15.0,0.0,QNA,22:00 26-Dec-2018 UTC
240,04,13.3,0.0,QNA,21:00 26-Dec-2018 UTC
110,02,12.2,0.0,QNA,20:00 26-Dec-2018 UTC
080,03,9.9,0.0,QNA,19:00 26-Dec-2018 UTC
040,03,5.7,0.0,QNA,18:00 26-Dec-2018 UTC
020,02,6.2,0.0,QNA,17:00 26-Dec-2018 UTC
110,04,7.0,0.0,QNA,16:00 26-Dec-2018 UTC
190,01,8.4,0.0,QNA,15:00 26-Dec-2018 UTC
170,07,10.2,0.0,QNA,14:00 26-Dec-2018 UTC
160,05,10.8,0.0,QNA,13:00 26-Dec-2018 UTC
130,05,11.5,0.0,QNA,12:00 26-Dec-2018 UTC
170,11,12.3,0.0,QNA,11:00 26-Dec-2018 UTC
160,11,13.0,0.0,QNA,10:00 26-Dec-2018 UTC
160,16,13.8,0.0,QNA,09:00 26-Dec-2018 UTC
170,17,14.6,0.0,QNA,08:00 26-Dec-2018 UTC
170,17,16.4,0.0,QNA,07:00 26-Dec-2018 UTC
180,19,17.6,0.0,QNA,06:00 26-Dec-2018 UTC
180,20,18.4,0.0,QNA,05:00 26-Dec-2018 UTC
170,14,19.9,0.0,QNA,04:00 26-Dec-2018 UTC
180,10,19.9,0.0,QNA,03:00 26-Dec-2018 UTC
170,11,19.1,0.0,QNA,02:00 26-Dec-2018 UTC
170,13,17.2,0.0,QNA,01:00 26-Dec-2018 UTC
240,05,17.2,0.0,QNA,00:00 26-Dec-2018 UTC
180,08,17.0,0.0,QNA,23:00 25-Dec-2018 UTC
180,10,16.0,0.0,QNA,22:00 25-Dec-2018 UTC
170,15,14.1,0.0,QNA,21:00 25-Dec-2018 UTC
160,14,13.0,0.0,QNA,20:00 25-Dec-2018 UTC
160,16,11.8,0.0,QNA,19:00 25-Dec-2018 UTC
170,18,11.1,0.0,QNA,18:00 25-Dec-2018 UTC
170,14,10.8,0.0,QNA,17:00 25-Dec-2018 UTC
160,13,11.7,0.0,QNA,16:00 25-Dec-2018 UTC
150,11,11.6,0.0,QNA,15:00 25-Dec-2018 UTC
150,15,13.0,0.0,QNA,14:00 25-Dec-2018 UTC
